node,model,GPUs
ip-10-40-82-115,ssys8v4,[3]
ip-10-40-82-115,ssys8v3,[2]
ip-10-40-82-115,ssys8v2,[1]
ip-10-40-82-115,ssys8v1,[0]
ip-10-40-81-199,i79,[0 1 2 3 4 5 6 7]
ip-10-40-81-180,audiocraft,[7]
ip-10-40-81-180,emotiv1,[0 1]
ip-10-40-81-180,emotivox_draft_server,[4]
ip-10-40-81-180,bgev001,[7]
ip-10-40-81-180,emotivox_server,[0]
ip-10-40-81-180,emotivox_subtextalign,[4]
ip-10-40-92-76,i80lr5e4,[0 1 2 3 4 5 6 7]
ip-10-40-83-235,s16,[0 1 2 3 4 5 6 7]
ip-10-40-90-126,s13,[0 1 2 3 4 5 6 7]
ip-10-40-86-233,i80lr2e4,[0 1 2 3 4 5 6 7]
